属性名,属性中文名,数据类型,说明
$latest_utm_content,最近一次广告系列内容,字符串,使用 Web 渠道追踪 后，只要 URL 中包含 对应渠道信息（ utm_ 参数）就会重置
$latest_utm_medium,最近一次广告系列媒介,字符串,使用 Web 渠道追踪 后，只要 URL 中包含 对应渠道信息（ utm_ 参数）就会重置
$latest_utm_source,最近一次广告系列来源,字符串,使用 Web 渠道追踪 后，只要 URL 中包含 对应渠道信息（ utm_ 参数）就会重置
$latest_utm_term,最近一次广告系列字词,字符串,使用 Web 渠道追踪 后，只要 URL 中包含 对应渠道信息（ utm_ 参数）就会重置
$latitude,GPS 信息,数值,纬度*106
$lib,SDK类型,字符串,SDK 类型，比如 Android/iOS
$lib_method,埋点方式,字符串,埋点方式，目前值统一为 code
$lib_version,SDK 版本,字符串,SDK 版本
$longitude,GPS 信息,数值,只有在开启 enableTrackGPSLocation: 时才会采集
$manufacturer,设备制造商,字符串,设备制造商
$model,设备型号,字符串,设备型号
$network_type,网络类型,字符串,事件触发时的网络类型，如果 SDK 没有获取网络类型的权限，或者手机为飞行模式、未插卡且没有连接 WiFi等情况，则无法获取网络类型。
$os,操作系统,字符串,操作系统
$os_version,操作系统版本,字符串,操作系统版本
$page_height,页面高度,数值,
$page_resource_size,页面资源大小,数值,1.21.7 版本开始采集，页面资源大小，单位是 kb，大小限制大于 0，小于 10G 采集，不满足则不采集。
$page_x,点击位置距网页左侧距离,数值,1.21.5 版本开始采集 $page_x 和 $page_y。
$page_y,点击位置距网页顶部距离,数值,1.21.5 版本开始采集 $page_x 和 $page_y。
$province,省份,字符串,由 IP 解析得到
$referrer,前向地址,字符串,如果直接打开页面，值为空字符串
$referrer_host,前向域名,字符串,如果直接打开页面，值为空字符串
$referrer_title,前向页面标题,字符串,前一个页面标题
$screen_height,屏幕高度,数值,屏幕高度，采集的是像素
$screen_name,页面名称,字符串,Activity 的包名.类名（Android 端） / ViewController 的类名（iOS 端）；可手动设置该属性的值
$screen_orientation,屏幕方向,字符串,只有在开启 enableTrackScreenOrientation: 时才会采集
$screen_width,屏幕宽度,数值,屏幕宽度，采集的是像素
$timezone_offset,时区偏移量,数值,App 或系统的时区
$title,页面标题,字符串,Activity 的标题（Android 端）/ViewController 的标题（iOS 端）
$url,页面地址,字符串,自动采集的版本 Android：3.2.8，iOS：1.11.5 
$url_host,页面地址域名,字符串,由服务端进行解析，如果事件中上报了 $url，则会解析出来该属性
$url_path,页面路径,字符串,
$utm_campaign,广告系列名称,字符串,打开页面的 url 有该参数就采集
$utm_content,广告系列内容,字符串,打开页面的 url 有该参数就采集
$utm_medium,广告系列媒介,字符串,打开页面的 url 有该参数就采集
$utm_source,广告系列来源,字符串,打开页面的 url 有该参数就采集
$utm_term,广告系列字词,字符串,打开页面的 url 有该参数就采集
$viewport_height,视区高度,数值,视区高度（当前浏览器的可视区域的高度，单位是 px。）
$viewport_position,视区距顶部的位置,数值,视区距顶部的位置（当前滚动条所在位置，距离页面顶部的高度，单位是 px。）
$viewport_width,视区宽度,数值,视区宽度（当前浏览器的可视区域的宽度，单位是 px。）
$wifi,是否 WiFi,布尔值,事件触发时是否为 WiFi
$browser,浏览器,字符串,
$browser_version,浏览器版本,字符串,
$track_signup_original_id,$track_signup_original_id,字符串,
$idmap_reason,$idmap_reason,,
user_type,用户类型,字符串,
licence,车牌号,字符串,
platform_version_code,项目版本,字符串,
app_name,应用名称,字符串,
platform_type,平台类型,字符串,
hu_code,设备平台,字符串,
model,车型,字符串,
vin,车架号,字符串,
product_line,产线平台,字符串,
hu_type,hu_type,字符串,
is_login,是否登录,布尔值,
platForm,platForm,,
